154) High: 39.800; Low: 39.765; Close: 39.765 | 2023-05-25T20:07:00Z
155) High: 39.830; Low: 39.770; Close: 39.800 | 2023-05-25T20:08:00Z
156) High: 39.830; Low: 39.805; Close: 39.825 | 2023-05-25T20:09:00Z
157) High: 39.830; Low: 39.810; Close: 39.830 | 2023-05-25T20:10:00Z
158) High: 39.920; Low: 39.810; Close: 39.910 | 2023-05-25T20:11:00Z
159) High: 39.915; Low: 39.895; Close: 39.915 | 2023-05-25T20:12:00Z
160) High: 39.920; Low: 39.910; Close: 39.910 | 2023-05-25T20:13:00Z
161) High: 39.915; Low: 39.915; Close: 39.915 | 2023-05-25T20:14:00Z
162) High: 39.915; Low: 39.900; Close: 39.915 | 2023-05-25T20:15:00Z
163) High: 39.910; Low: 39.900; Close: 39.900 | 2023-05-25T20:16:00Z
164) High: 39.900; Low: 39.890; Close: 39.890 | 2023-05-25T20:17:00Z
165) High: 39.900; Low: 39.895; Close: 39.895 | 2023-05-25T20:18:00Z
166) High: 39.895; Low: 39.890; Close: 39.890 | 2023-05-25T20:19:00Z
167) High: 39.895; Low: 39.860; Close: 39.880 | 2023-05-25T20:20:00Z
168) High: 39.870; Low: 39.800; Close: 39.815 | 2023-05-25T20:21:00Z
169) High: 39.850; Low: 39.820; Close: 39.850 | 2023-05-25T20:22:00Z
170) High: 39.855; Low: 39.845; Close: 39.855 | 2023-05-25T20:23:00Z
171) High: 39.835; Low: 39.835; Close: 39.835 | 2023-05-25T20:24:00Z
172) High: 39.845; Low: 39.830; Close: 39.845 | 2023-05-25T20:25:00Z
173) High: 39.825; Low: 39.800; Close: 39.800 | 2023-05-25T20:26:00Z
174) High: 39.840; Low: 39.810; Close: 39.840 | 2023-05-25T20:27:00Z
175) High: 39.865; Low: 39.850; Close: 39.850 | 2023-05-25T20:28:00Z
176) High: 39.875; Low: 39.865; Close: 39.875 | 2023-05-25T20:29:00Z
177) High: 39.890; Low: 39.875; Close: 39.890 | 2023-05-25T20:30:00Z
178) High: 39.890; Low: 39.880; Close: 39.885 | 2023-05-25T20:31:00Z
179) High: 39.895; Low: 39.885; Close: 39.895 | 2023-05-25T20:32:00Z
0) High: 39.950; Low: 39.925; Close: 39.925 | 2023-05-25T17:35:00Z
1) High: 39.930; Low: 39.910; Close: 39.910 | 2023-05-25T17:36:00Z
2) High: 39.920; Low: 39.915; Close: 39.915 | 2023-05-25T17:37:00Z
3) High: 39.920; Low: 39.895; Close: 39.895 | 2023-05-25T17:38:00Z
4) High: 39.900; Low: 39.890; Close: 39.890 | 2023-05-25T17:39:00Z
5) High: 39.900; Low: 39.885; Close: 39.885 | 2023-05-25T17:40:00Z
6) High: 39.945; Low: 39.875; Close: 39.945 | 2023-05-25T17:41:00Z
7) High: 39.945; Low: 39.940; Close: 39.940 | 2023-05-25T17:42:00Z
8) High: 39.910; Low: 39.895; Close: 39.895 | 2023-05-25T17:43:00Z
9) High: 39.895; Low: 39.870; Close: 39.875 | 2023-05-25T17:44:00Z
10) High: 39.910; Low: 39.870; Close: 39.910 | 2023-05-25T17:45:00Z
11) High: 39.920; Low: 39.880; Close: 39.920 | 2023-05-25T17:46:00Z
12) High: 39.960; Low: 39.925; Close: 39.950 | 2023-05-25T17:47:00Z
13) High: 39.965; Low: 39.930; Close: 39.950 | 2023-05-25T17:48:00Z
14) High: 39.950; Low: 39.920; Close: 39.920 | 2023-05-25T17:49:00Z
15) High: 39.940; Low: 39.935; Close: 39.940 | 2023-05-25T17:50:00Z
16) High: 39.965; Low: 39.940; Close: 39.965 | 2023-05-25T17:51:00Z
17) High: 39.965; Low: 39.960; Close: 39.965 | 2023-05-25T17:52:00Z
18) High: 39.975; Low: 39.970; Close: 39.970 | 2023-05-25T17:53:00Z
19) High: 39.985; Low: 39.975; Close: 39.980 | 2023-05-25T17:54:00Z
20) High: 39.985; Low: 39.980; Close: 39.985 | 2023-05-25T17:55:00Z
21) High: 39.985; Low: 39.980; Close: 39.980 | 2023-05-25T17:56:00Z
22) High: 39.985; Low: 39.980; Close: 39.980 | 2023-05-25T17:57:00Z
23) High: 39.985; Low: 39.980; Close: 39.985 | 2023-05-25T17:58:00Z
24) High: 39.990; Low: 39.985; Close: 39.990 | 2023-05-25T17:59:00Z
25) High: 39.995; Low: 39.985; Close: 39.995 | 2023-05-25T18:00:00Z
26) High: 39.995; Low: 39.990; Close: 39.990 | 2023-05-25T18:01:00Z
27) High: 40.000; Low: 39.990; Close: 39.995 | 2023-05-25T18:02:00Z
28) High: 39.995; Low: 39.990; Close: 39.995 | 2023-05-25T18:03:00Z
29) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:04:00Z
30) High: 40.000; Low: 39.985; Close: 39.985 | 2023-05-25T18:05:00Z
31) High: 39.985; Low: 39.965; Close: 39.980 | 2023-05-25T18:06:00Z
32) High: 39.980; Low: 39.965; Close: 39.980 | 2023-05-25T18:07:00Z
33) High: 39.970; Low: 39.970; Close: 39.970 | 2023-05-25T18:08:00Z
34) High: 39.980; Low: 39.965; Close: 39.970 | 2023-05-25T18:09:00Z
35) High: 39.980; Low: 39.970; Close: 39.980 | 2023-05-25T18:10:00Z
36) High: 39.985; Low: 39.970; Close: 39.985 | 2023-05-25T18:11:00Z
37) High: 39.985; Low: 39.975; Close: 39.975 | 2023-05-25T18:12:00Z
38) High: 39.990; Low: 39.970; Close: 39.990 | 2023-05-25T18:13:00Z
39) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:14:00Z
40) High: 40.250; Low: 39.975; Close: 40.250 | 2023-05-25T18:15:00Z
41) High: 40.400; Low: 40.150; Close: 40.400 | 2023-05-25T18:16:00Z
42) High: 40.450; Low: 40.400; Close: 40.400 | 2023-05-25T18:17:00Z
43) High: 40.350; Low: 40.000; Close: 40.000 | 2023-05-25T18:18:00Z
44) High: 40.100; Low: 39.980; Close: 39.990 | 2023-05-25T18:19:00Z
45) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:20:00Z
46) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:21:00Z
47) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T18:22:00Z
48) High: 40.000; Low: 39.985; Close: 39.990 | 2023-05-25T18:23:00Z
49) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:24:00Z
50) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:25:00Z
51) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:26:00Z
52) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:27:00Z
53) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:28:00Z
54) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:29:00Z
55) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:30:00Z
56) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:31:00Z
57) High: 39.995; Low: 39.965; Close: 39.965 | 2023-05-25T18:32:00Z
58) High: 39.985; Low: 39.965; Close: 39.985 | 2023-05-25T18:33:00Z
59) High: 40.000; Low: 39.970; Close: 40.000 | 2023-05-25T18:34:00Z
60) High: 40.000; Low: 39.985; Close: 39.985 | 2023-05-25T18:35:00Z
61) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:36:00Z
62) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:37:00Z
63) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:38:00Z
64) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:39:00Z
65) High: 39.995; Low: 39.995; Close: 39.995 | 2023-05-25T18:40:00Z
66) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:41:00Z
67) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:42:00Z
68) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:43:00Z
69) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:44:00Z
70) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:45:00Z
71) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:46:00Z
72) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:47:00Z
73) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:48:00Z
74) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:49:00Z
75) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:50:00Z
76) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:51:00Z
77) High: 40.000; Low: 39.990; Close: 39.995 | 2023-05-25T18:52:00Z
78) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:53:00Z
79) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:54:00Z
80) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:55:00Z
81) High: 39.995; Low: 39.990; Close: 39.995 | 2023-05-25T18:56:00Z
82) High: 39.995; Low: 39.975; Close: 39.975 | 2023-05-25T18:57:00Z
83) High: 39.995; Low: 39.985; Close: 39.995 | 2023-05-25T18:58:00Z
84) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T18:59:00Z
85) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T19:00:00Z
86) High: 39.990; Low: 39.980; Close: 39.990 | 2023-05-25T19:01:00Z
87) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:02:00Z
88) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:03:00Z
89) High: 39.990; Low: 39.975; Close: 39.980 | 2023-05-25T19:04:00Z
90) High: 39.990; Low: 39.975; Close: 39.990 | 2023-05-25T19:05:00Z
91) High: 39.995; Low: 39.980; Close: 39.990 | 2023-05-25T19:06:00Z
92) High: 39.990; Low: 39.980; Close: 39.985 | 2023-05-25T19:07:00Z
93) High: 39.980; Low: 39.915; Close: 39.950 | 2023-05-25T19:08:00Z
94) High: 39.960; Low: 39.945; Close: 39.955 | 2023-05-25T19:09:00Z
95) High: 39.950; Low: 39.925; Close: 39.925 | 2023-05-25T19:10:00Z
96) High: 39.935; Low: 39.920; Close: 39.920 | 2023-05-25T19:11:00Z
97) High: 39.935; Low: 39.920; Close: 39.920 | 2023-05-25T19:12:00Z
98) High: 39.970; Low: 39.925; Close: 39.945 | 2023-05-25T19:13:00Z
99) High: 39.960; Low: 39.925; Close: 39.925 | 2023-05-25T19:14:00Z
100) High: 39.960; Low: 39.930; Close: 39.950 | 2023-05-25T19:15:00Z
101) High: 39.960; Low: 39.920; Close: 39.960 | 2023-05-25T19:16:00Z
102) High: 39.960; Low: 39.960; Close: 39.960 | 2023-05-25T19:17:00Z
103) High: 39.950; Low: 39.930; Close: 39.935 | 2023-05-25T19:18:00Z
104) High: 39.950; Low: 39.920; Close: 39.940 | 2023-05-25T19:19:00Z
105) High: 39.940; Low: 39.915; Close: 39.920 | 2023-05-25T19:20:00Z
106) High: 39.945; Low: 39.905; Close: 39.905 | 2023-05-25T19:21:00Z
107) High: 39.955; Low: 39.905; Close: 39.955 | 2023-05-25T19:22:00Z
108) High: 39.960; Low: 39.950; Close: 39.960 | 2023-05-25T19:23:00Z
109) High: 39.975; Low: 39.950; Close: 39.950 | 2023-05-25T19:24:00Z
110) High: 39.970; Low: 39.950; Close: 39.970 | 2023-05-25T19:25:00Z
111) High: 39.985; Low: 39.955; Close: 39.980 | 2023-05-25T19:26:00Z
112) High: 39.990; Low: 39.975; Close: 39.985 | 2023-05-25T19:27:00Z
113) High: 39.985; Low: 39.950; Close: 39.975 | 2023-05-25T19:28:00Z
114) High: 39.985; Low: 39.970; Close: 39.980 | 2023-05-25T19:29:00Z
115) High: 39.980; Low: 39.950; Close: 39.975 | 2023-05-25T19:30:00Z
116) High: 39.975; Low: 39.965; Close: 39.965 | 2023-05-25T19:31:00Z
117) High: 39.980; Low: 39.955; Close: 39.975 | 2023-05-25T19:32:00Z
118) High: 39.985; Low: 39.970; Close: 39.980 | 2023-05-25T19:33:00Z
119) High: 39.985; Low: 39.970; Close: 39.970 | 2023-05-25T19:34:00Z
120) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:35:00Z
121) High: 39.975; Low: 39.970; Close: 39.975 | 2023-05-25T19:36:00Z
122) High: 39.970; Low: 39.965; Close: 39.965 | 2023-05-25T19:37:00Z
123) High: 39.970; Low: 39.955; Close: 39.970 | 2023-05-25T19:38:00Z
124) High: 39.990; Low: 39.970; Close: 39.980 | 2023-05-25T19:39:00Z
125) High: 39.975; Low: 39.975; Close: 39.975 | 2023-05-25T19:40:00Z
126) High: 39.975; Low: 39.970; Close: 39.975 | 2023-05-25T19:41:00Z
127) High: 40.000; Low: 39.970; Close: 40.000 | 2023-05-25T19:42:00Z
128) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T19:43:00Z
129) High: 39.995; Low: 39.970; Close: 39.975 | 2023-05-25T19:44:00Z
130) High: 40.000; Low: 39.975; Close: 40.000 | 2023-05-25T19:45:00Z
131) High: 40.300; Low: 39.990; Close: 40.200 | 2023-05-25T19:46:00Z
132) High: 40.100; Low: 39.995; Close: 40.000 | 2023-05-25T19:47:00Z
133) High: 40.250; Low: 39.995; Close: 40.200 | 2023-05-25T19:48:00Z
134) High: 40.200; Low: 40.000; Close: 40.000 | 2023-05-25T19:49:00Z
135) High: 40.150; Low: 39.995; Close: 40.000 | 2023-05-25T19:50:00Z
136) High: 40.150; Low: 39.985; Close: 39.990 | 2023-05-25T19:51:00Z
137) High: 40.200; Low: 39.990; Close: 40.150 | 2023-05-25T19:52:00Z
138) High: 40.200; Low: 40.000; Close: 40.100 | 2023-05-25T19:53:00Z
139) High: 40.100; Low: 39.975; Close: 39.975 | 2023-05-25T19:54:00Z
140) High: 40.000; Low: 39.955; Close: 39.990 | 2023-05-25T19:55:00Z
141) High: 39.960; Low: 39.940; Close: 39.945 | 2023-05-25T19:56:00Z
142) High: 39.945; Low: 39.940; Close: 39.945 | 2023-05-25T19:57:00Z
143) High: 39.945; Low: 39.925; Close: 39.925 | 2023-05-25T19:58:00Z
144) High: 39.920; Low: 39.885; Close: 39.885 | 2023-05-25T19:59:00Z
145) High: 39.915; Low: 39.875; Close: 39.890 | 2023-05-25T20:00:00Z
146) High: 39.930; Low: 39.870; Close: 39.900 | 2023-05-25T20:01:00Z
147) High: 39.900; Low: 39.870; Close: 39.870 | 2023-05-25T20:02:00Z
148) High: 39.865; Low: 39.750; Close: 39.770 | 2023-05-25T20:03:00Z
149) High: 39.800; Low: 39.785; Close: 39.790 | 2023-05-25T20:04:00Z
150) High: 39.800; Low: 39.780; Close: 39.785 | 2023-05-25T20:05:00Z
151) High: 39.800; Low: 39.765; Close: 39.790 | 2023-05-25T20:06:00Z
152) High: 39.800; Low: 39.765; Close: 39.765 | 2023-05-25T20:07:00Z
153) High: 39.830; Low: 39.770; Close: 39.800 | 2023-05-25T20:08:00Z
154) High: 39.830; Low: 39.805; Close: 39.825 | 2023-05-25T20:09:00Z
155) High: 39.830; Low: 39.810; Close: 39.830 | 2023-05-25T20:10:00Z
156) High: 39.920; Low: 39.810; Close: 39.910 | 2023-05-25T20:11:00Z
157) High: 39.915; Low: 39.895; Close: 39.915 | 2023-05-25T20:12:00Z
158) High: 39.920; Low: 39.910; Close: 39.910 | 2023-05-25T20:13:00Z
159) High: 39.915; Low: 39.915; Close: 39.915 | 2023-05-25T20:14:00Z
160) High: 39.915; Low: 39.900; Close: 39.915 | 2023-05-25T20:15:00Z
161) High: 39.910; Low: 39.900; Close: 39.900 | 2023-05-25T20:16:00Z
162) High: 39.900; Low: 39.890; Close: 39.890 | 2023-05-25T20:17:00Z
163) High: 39.900; Low: 39.895; Close: 39.895 | 2023-05-25T20:18:00Z
164) High: 39.895; Low: 39.890; Close: 39.890 | 2023-05-25T20:19:00Z
165) High: 39.895; Low: 39.860; Close: 39.880 | 2023-05-25T20:20:00Z
166) High: 39.870; Low: 39.800; Close: 39.815 | 2023-05-25T20:21:00Z
167) High: 39.850; Low: 39.820; Close: 39.850 | 2023-05-25T20:22:00Z
168) High: 39.855; Low: 39.845; Close: 39.855 | 2023-05-25T20:23:00Z
169) High: 39.835; Low: 39.835; Close: 39.835 | 2023-05-25T20:24:00Z
170) High: 39.845; Low: 39.830; Close: 39.845 | 2023-05-25T20:25:00Z
171) High: 39.825; Low: 39.800; Close: 39.800 | 2023-05-25T20:26:00Z
172) High: 39.840; Low: 39.810; Close: 39.840 | 2023-05-25T20:27:00Z
173) High: 39.865; Low: 39.850; Close: 39.850 | 2023-05-25T20:28:00Z
174) High: 39.875; Low: 39.865; Close: 39.875 | 2023-05-25T20:29:00Z
175) High: 39.890; Low: 39.875; Close: 39.890 | 2023-05-25T20:30:00Z
176) High: 39.890; Low: 39.880; Close: 39.885 | 2023-05-25T20:31:00Z
177) High: 39.895; Low: 39.885; Close: 39.895 | 2023-05-25T20:32:00Z
178) High: 39.895; Low: 39.865; Close: 39.895 | 2023-05-25T20:33:00Z
179) High: 39.900; Low: 39.845; Close: 39.870 | 2023-05-25T20:34:00Z
0) High: 39.920; Low: 39.915; Close: 39.915 | 2023-05-25T17:37:00Z
1) High: 39.920; Low: 39.895; Close: 39.895 | 2023-05-25T17:38:00Z
2) High: 39.900; Low: 39.890; Close: 39.890 | 2023-05-25T17:39:00Z
3) High: 39.900; Low: 39.885; Close: 39.885 | 2023-05-25T17:40:00Z
4) High: 39.945; Low: 39.875; Close: 39.945 | 2023-05-25T17:41:00Z
5) High: 39.945; Low: 39.940; Close: 39.940 | 2023-05-25T17:42:00Z
6) High: 39.910; Low: 39.895; Close: 39.895 | 2023-05-25T17:43:00Z
7) High: 39.895; Low: 39.870; Close: 39.875 | 2023-05-25T17:44:00Z
8) High: 39.910; Low: 39.870; Close: 39.910 | 2023-05-25T17:45:00Z
9) High: 39.920; Low: 39.880; Close: 39.920 | 2023-05-25T17:46:00Z
10) High: 39.960; Low: 39.925; Close: 39.950 | 2023-05-25T17:47:00Z
11) High: 39.965; Low: 39.930; Close: 39.950 | 2023-05-25T17:48:00Z
12) High: 39.950; Low: 39.920; Close: 39.920 | 2023-05-25T17:49:00Z
13) High: 39.940; Low: 39.935; Close: 39.940 | 2023-05-25T17:50:00Z
14) High: 39.965; Low: 39.940; Close: 39.965 | 2023-05-25T17:51:00Z
15) High: 39.965; Low: 39.960; Close: 39.965 | 2023-05-25T17:52:00Z
16) High: 39.975; Low: 39.970; Close: 39.970 | 2023-05-25T17:53:00Z
17) High: 39.985; Low: 39.975; Close: 39.980 | 2023-05-25T17:54:00Z
18) High: 39.985; Low: 39.980; Close: 39.985 | 2023-05-25T17:55:00Z
19) High: 39.985; Low: 39.980; Close: 39.980 | 2023-05-25T17:56:00Z
20) High: 39.985; Low: 39.980; Close: 39.980 | 2023-05-25T17:57:00Z
21) High: 39.985; Low: 39.980; Close: 39.985 | 2023-05-25T17:58:00Z
22) High: 39.990; Low: 39.985; Close: 39.990 | 2023-05-25T17:59:00Z
23) High: 39.995; Low: 39.985; Close: 39.995 | 2023-05-25T18:00:00Z
24) High: 39.995; Low: 39.990; Close: 39.990 | 2023-05-25T18:01:00Z
25) High: 40.000; Low: 39.990; Close: 39.995 | 2023-05-25T18:02:00Z
26) High: 39.995; Low: 39.990; Close: 39.995 | 2023-05-25T18:03:00Z
27) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:04:00Z
28) High: 40.000; Low: 39.985; Close: 39.985 | 2023-05-25T18:05:00Z
29) High: 39.985; Low: 39.965; Close: 39.980 | 2023-05-25T18:06:00Z
30) High: 39.980; Low: 39.965; Close: 39.980 | 2023-05-25T18:07:00Z
31) High: 39.970; Low: 39.970; Close: 39.970 | 2023-05-25T18:08:00Z
32) High: 39.980; Low: 39.965; Close: 39.970 | 2023-05-25T18:09:00Z
33) High: 39.980; Low: 39.970; Close: 39.980 | 2023-05-25T18:10:00Z
34) High: 39.985; Low: 39.970; Close: 39.985 | 2023-05-25T18:11:00Z
35) High: 39.985; Low: 39.975; Close: 39.975 | 2023-05-25T18:12:00Z
36) High: 39.990; Low: 39.970; Close: 39.990 | 2023-05-25T18:13:00Z
37) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:14:00Z
38) High: 40.250; Low: 39.975; Close: 40.250 | 2023-05-25T18:15:00Z
39) High: 40.400; Low: 40.150; Close: 40.400 | 2023-05-25T18:16:00Z
40) High: 40.450; Low: 40.400; Close: 40.400 | 2023-05-25T18:17:00Z
41) High: 40.350; Low: 40.000; Close: 40.000 | 2023-05-25T18:18:00Z
42) High: 40.100; Low: 39.980; Close: 39.990 | 2023-05-25T18:19:00Z
43) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:20:00Z
44) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:21:00Z
45) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T18:22:00Z
46) High: 40.000; Low: 39.985; Close: 39.990 | 2023-05-25T18:23:00Z
47) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:24:00Z
48) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:25:00Z
49) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:26:00Z
50) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:27:00Z
51) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:28:00Z
52) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:29:00Z
53) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:30:00Z
54) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:31:00Z
55) High: 39.995; Low: 39.965; Close: 39.965 | 2023-05-25T18:32:00Z
56) High: 39.985; Low: 39.965; Close: 39.985 | 2023-05-25T18:33:00Z
57) High: 40.000; Low: 39.970; Close: 40.000 | 2023-05-25T18:34:00Z
58) High: 40.000; Low: 39.985; Close: 39.985 | 2023-05-25T18:35:00Z
59) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:36:00Z
60) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:37:00Z
61) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:38:00Z
62) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:39:00Z
63) High: 39.995; Low: 39.995; Close: 39.995 | 2023-05-25T18:40:00Z
64) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:41:00Z
65) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:42:00Z
66) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:43:00Z
67) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:44:00Z
68) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:45:00Z
69) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:46:00Z
70) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:47:00Z
71) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:48:00Z
72) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:49:00Z
73) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:50:00Z
74) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:51:00Z
75) High: 40.000; Low: 39.990; Close: 39.995 | 2023-05-25T18:52:00Z
76) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:53:00Z
77) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:54:00Z
78) High: 39.995; Low: 39.985; Close: 39.985 | 2023-05-25T18:55:00Z
79) High: 39.995; Low: 39.990; Close: 39.995 | 2023-05-25T18:56:00Z
80) High: 39.995; Low: 39.975; Close: 39.975 | 2023-05-25T18:57:00Z
81) High: 39.995; Low: 39.985; Close: 39.995 | 2023-05-25T18:58:00Z
82) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T18:59:00Z
83) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T19:00:00Z
84) High: 39.990; Low: 39.980; Close: 39.990 | 2023-05-25T19:01:00Z
85) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:02:00Z
86) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:03:00Z
87) High: 39.990; Low: 39.975; Close: 39.980 | 2023-05-25T19:04:00Z
88) High: 39.990; Low: 39.975; Close: 39.990 | 2023-05-25T19:05:00Z
89) High: 39.995; Low: 39.980; Close: 39.990 | 2023-05-25T19:06:00Z
90) High: 39.990; Low: 39.980; Close: 39.985 | 2023-05-25T19:07:00Z
91) High: 39.980; Low: 39.915; Close: 39.950 | 2023-05-25T19:08:00Z
92) High: 39.960; Low: 39.945; Close: 39.955 | 2023-05-25T19:09:00Z
93) High: 39.950; Low: 39.925; Close: 39.925 | 2023-05-25T19:10:00Z
94) High: 39.935; Low: 39.920; Close: 39.920 | 2023-05-25T19:11:00Z
95) High: 39.935; Low: 39.920; Close: 39.920 | 2023-05-25T19:12:00Z
96) High: 39.970; Low: 39.925; Close: 39.945 | 2023-05-25T19:13:00Z
97) High: 39.960; Low: 39.925; Close: 39.925 | 2023-05-25T19:14:00Z
98) High: 39.960; Low: 39.930; Close: 39.950 | 2023-05-25T19:15:00Z
99) High: 39.960; Low: 39.920; Close: 39.960 | 2023-05-25T19:16:00Z
100) High: 39.960; Low: 39.960; Close: 39.960 | 2023-05-25T19:17:00Z
101) High: 39.950; Low: 39.930; Close: 39.935 | 2023-05-25T19:18:00Z
102) High: 39.950; Low: 39.920; Close: 39.940 | 2023-05-25T19:19:00Z
103) High: 39.940; Low: 39.915; Close: 39.920 | 2023-05-25T19:20:00Z
104) High: 39.945; Low: 39.905; Close: 39.905 | 2023-05-25T19:21:00Z
105) High: 39.955; Low: 39.905; Close: 39.955 | 2023-05-25T19:22:00Z
106) High: 39.960; Low: 39.950; Close: 39.960 | 2023-05-25T19:23:00Z
107) High: 39.975; Low: 39.950; Close: 39.950 | 2023-05-25T19:24:00Z
108) High: 39.970; Low: 39.950; Close: 39.970 | 2023-05-25T19:25:00Z
109) High: 39.985; Low: 39.955; Close: 39.980 | 2023-05-25T19:26:00Z
110) High: 39.990; Low: 39.975; Close: 39.985 | 2023-05-25T19:27:00Z
111) High: 39.985; Low: 39.950; Close: 39.975 | 2023-05-25T19:28:00Z
112) High: 39.985; Low: 39.970; Close: 39.980 | 2023-05-25T19:29:00Z
113) High: 39.980; Low: 39.950; Close: 39.975 | 2023-05-25T19:30:00Z
114) High: 39.975; Low: 39.965; Close: 39.965 | 2023-05-25T19:31:00Z
115) High: 39.980; Low: 39.955; Close: 39.975 | 2023-05-25T19:32:00Z
116) High: 39.985; Low: 39.970; Close: 39.980 | 2023-05-25T19:33:00Z
117) High: 39.985; Low: 39.970; Close: 39.970 | 2023-05-25T19:34:00Z
118) High: 39.980; Low: 39.975; Close: 39.975 | 2023-05-25T19:35:00Z
119) High: 39.975; Low: 39.970; Close: 39.975 | 2023-05-25T19:36:00Z
